"","geo_code1","geo_code2","all","from_home","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","geo_name1","geo_name2","la_1","la_2"
"78","E02002330","E02002419",15,0,0,0,3,0,0,10,1,0,1,0,"Leeds 001","Leeds 090","Leeds","Leeds"
"79","E02002330","E02002420",8,0,0,0,0,0,0,8,0,0,0,0,"Leeds 001","Leeds 091","Leeds","Leeds"
"80","E02002330","E02002421",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 001","Leeds 092","Leeds","Leeds"
"81","E02002330","E02002422",15,0,0,0,2,0,0,13,0,0,0,0,"Leeds 001","Leeds 093","Leeds","Leeds"
"82","E02002330","E02002424",5,0,0,0,0,0,0,4,1,0,0,0,"Leeds 001","Leeds 095","Leeds","Leeds"
"83","E02002330","E02002425",2,0,0,0,0,0,0,1,0,0,1,0,"Leeds 001","Leeds 096","Leeds","Leeds"
"84","E02002330","E02002426",5,0,0,0,0,1,0,2,1,0,1,0,"Leeds 001","Leeds 097","Leeds","Leeds"
"85","E02002330","E02002427",1,0,0,0,1,0,0,0,0,0,0,0,"Leeds 001","Leeds 098","Leeds","Leeds"
"86","E02002330","E02002428",4,0,0,0,0,0,0,3,0,0,1,0,"Leeds 001","Leeds 099","Leeds","Leeds"
"87","E02002330","E02002430",3,0,0,0,0,0,0,1,0,0,2,0,"Leeds 001","Leeds 101","Leeds","Leeds"
"88","E02002330","E02002431",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 001","Leeds 102","Leeds","Leeds"
"89","E02002330","E02002433",5,0,0,0,0,0,0,5,0,0,0,0,"Leeds 001","Leeds 104","Leeds","Leeds"
"90","E02002330","E02002435",7,0,0,0,1,0,0,5,0,0,1,0,"Leeds 001","Leeds 106","Leeds","Leeds"
"91","E02002330","E02002436",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 001","Leeds 107","Leeds","Leeds"
"92","E02002330","E02006852",8,0,0,0,0,0,0,7,1,0,0,0,"Leeds 001","Leeds 109","Leeds","Leeds"
"93","E02002330","E02006861",5,0,0,0,0,0,0,5,0,0,0,0,"Leeds 001","Leeds 110","Leeds","Leeds"
"94","E02002330","E02006875",225,0,0,5,32,0,1,166,11,2,7,1,"Leeds 001","Leeds 111","Leeds","Leeds"
"95","E02002330","E02006876",26,0,0,0,0,0,0,26,0,0,0,0,"Leeds 001","Leeds 112","Leeds","Leeds"
"96","E02002331","E02002330",36,0,0,0,1,0,0,14,2,0,19,0,"Leeds 002","Leeds 001","Leeds","Leeds"
"97","E02002331","E02002331",849,0,0,0,34,1,6,363,53,36,355,1,"Leeds 002","Leeds 002","Leeds","Leeds"
"98","E02002331","E02002333",3,0,0,0,1,0,0,2,0,0,0,0,"Leeds 002","Leeds 004","Leeds","Leeds"
"99","E02002331","E02002334",92,0,0,0,8,0,0,61,3,1,19,0,"Leeds 002","Leeds 005","Leeds","Leeds"
"100","E02002331","E02002335",19,0,0,0,0,0,0,15,2,1,1,0,"Leeds 002","Leeds 006","Leeds","Leeds"
"101","E02002331","E02002336",9,0,0,0,0,0,0,9,0,0,0,0,"Leeds 002","Leeds 007","Leeds","Leeds"
"102","E02002331","E02002339",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 010","Leeds","Leeds"
"103","E02002331","E02002340",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 011","Leeds","Leeds"
"104","E02002331","E02002343",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 014","Leeds","Leeds"
"105","E02002331","E02002344",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 015","Leeds","Leeds"
"106","E02002331","E02002345",6,0,0,0,0,0,0,2,1,0,3,0,"Leeds 002","Leeds 016","Leeds","Leeds"
"107","E02002331","E02002346",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 017","Leeds","Leeds"
"108","E02002331","E02002347",4,0,0,0,0,0,0,3,0,1,0,0,"Leeds 002","Leeds 018","Leeds","Leeds"
"109","E02002331","E02002348",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 019","Leeds","Leeds"
"110","E02002331","E02002349",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 020","Leeds","Leeds"
"111","E02002331","E02002350",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 021","Leeds","Leeds"
"112","E02002331","E02002351",18,0,0,0,1,0,0,14,3,0,0,0,"Leeds 002","Leeds 022","Leeds","Leeds"
"113","E02002331","E02002352",4,0,0,0,1,0,0,3,0,0,0,0,"Leeds 002","Leeds 023","Leeds","Leeds"
"114","E02002331","E02002354",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 025","Leeds","Leeds"
"115","E02002331","E02002356",8,0,0,0,1,0,0,6,0,0,1,0,"Leeds 002","Leeds 027","Leeds","Leeds"
"116","E02002331","E02002357",3,0,0,0,0,0,0,1,0,1,1,0,"Leeds 002","Leeds 028","Leeds","Leeds"
"117","E02002331","E02002358",18,0,0,0,1,0,0,14,0,0,3,0,"Leeds 002","Leeds 029","Leeds","Leeds"
"118","E02002331","E02002359",3,0,0,0,0,0,0,3,0,0,0,0,"Leeds 002","Leeds 030","Leeds","Leeds"
"119","E02002331","E02002361",6,0,0,0,0,0,0,6,0,0,0,0,"Leeds 002","Leeds 032","Leeds","Leeds"
"120","E02002331","E02002362",5,0,0,0,0,0,0,4,0,0,1,0,"Leeds 002","Leeds 033","Leeds","Leeds"
"121","E02002331","E02002363",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 034","Leeds","Leeds"
"122","E02002331","E02002364",13,0,0,0,3,0,0,7,0,1,2,0,"Leeds 002","Leeds 035","Leeds","Leeds"
"123","E02002331","E02002366",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 037","Leeds","Leeds"
